country,asn_count
 US          ,676
 GB          ,100
 AU          ,82
 ?           ,61
 DE          ,58
 HK          ,51
 CA          ,50
 FR          ,33
 CH          ,31
 SG          ,29
 IT          ,28
 IN          ,27
 IL          ,26
 NZ          ,26
 NL          ,25
 BR          ,20
 JP          ,19
 ID          ,15
 ES          ,14
 ZA          ,14
 BE          ,14
 BG          ,14
 AT          ,14
 SE          ,13
 TW          ,13
 IE          ,12
 AE          ,12
 PL          ,12
 GR          ,11
 RO          ,11
 MY          ,10
 SA          ,10
 TH          ,10
 TR          ,10
 PH          ,9
 MX          ,9
 MT          ,8
 IS          ,7
 GI          ,7
 CL          ,7
 CR          ,7
 AR          ,6
 UA          ,6
 FI          ,5
 DK          ,5
 CY          ,4
 LT          ,4
 KR          ,4
 LV          ,4
 JO          ,4
 EE          ,4
 GE          ,4
 AZ          ,3
 KZ          ,3
 VN          ,3
 NG          ,3
 CZ          ,3
 PK          ,3
 CN          ,3
 PY          ,2
 GG          ,2
 PS          ,2
 PG          ,2
 PA          ,2
 NO          ,2
 HR          ,2
 NI          ,2
 IM          ,2
 HU          ,2
 CO          ,2
 EG          ,2
 LU          ,2
 KW          ,2
 RS          ,1
 TL          ,1
 SM          ,1
 SK          ,1
 TZ          ,1
 AG          ,1
 DO          ,1
 VG          ,1
 RU          ,1
 AD          ,1
 GT          ,1
 PT          ,1
 PR          ,1
 BZ          ,1
 JE          ,1
 AO          ,1
 MV          ,1
 BD          ,1
 MM          ,1
 MK          ,1
 MA          ,1
 IQ          ,1
 LI          ,1
 LB          ,1
 KE          ,1
 HN          ,1
